time , step-size , {ArduCopter}.ArduCopter.accelerometerX , {ArduCopter}.ArduCopter.accelerometerY , {ArduCopter}.ArduCopter.accelerometerZ , {ArduCopter}.ArduCopter.gpsVelX , {ArduCopter}.ArduCopter.gpsVelY , {ArduCopter}.ArduCopter.gpsVelZ , {ArduCopter}.ArduCopter.gpsX , {ArduCopter}.ArduCopter.gpsY , {ArduCopter}.ArduCopter.gpsZ , {ArduCopter}.ArduCopter.gyroX , {ArduCopter}.ArduCopter.gyroY , {ArduCopter}.ArduCopter.gyroZ , {Ardupilot}.Ardupilot.motor1 , {Ardupilot}.Ardupilot.motor2 , {Ardupilot}.Ardupilot.motor3 , {Ardupilot}.Ardupilot.motor4
13.595 , 0.002500000000001279 , 2.8320206690945357E-15 , 1.5203990805808318E-14 , 428.50775989969566 , -3.3657318837785057E-15 , -8.546054049744973E-16 , -1.3356004988215604 , -2.5351983620310997E-14 , -1.10371054598127E-14 , -5.196384076709268 , 9.032318073390031E-11 , -1.693758175228784E-12 , -2.3520570128247196E-13 , 37.26932317794996 , 37.26932317794879 , 37.26932317794882 , 37.26932317794996
13.5975 , 0.0024999999999995026 , 2.894890018995909E-15 , 1.635839714379218E-14 , 426.98412074465733 , -3.365661751926046E-15 , -8.542136514626304E-16 , -1.3251171041547978 , -2.5360397862678523E-14 , -1.1039241489589488E-14 , -5.199709965715511 , -6.249582661749761E-12 , -2.697193326597753E-12 , -2.1188422767342251E-13 , 37.27473740029856 , 37.27473740029748 , 37.27473740029751 , 37.27473740029856
13.6 , 0.0024999999999995026 , 2.974097177001521E-15 , 1.4819295011338936E-14 , 426.36559559819466 , -3.3655898475777824E-15 , -8.538257478090556E-16 , -1.3146614547546784 , -2.5368811927582808E-14 , -1.1041376530982996E-14 , -5.203009685793503 , -1.1838661828643695E-10 , -3.2777937852970477E-12 , -2.5044147076410955E-13 , 37.27669373043565 , 37.27669373043503 , 37.27669373043503 , 37.27669373043565
13.6025 , 0.0024999999999995026 , 3.056200434931618E-15 , 1.0502052861874954E-14 , 426.38965718719123 , -3.365515938976481E-15 , -8.535101791758233E-16 , -1.3042115546087345 , -2.5377225810235788E-14 , -1.1043510678778023E-14 , -5.206283277217427 , -2.2039351001902122E-10 , -3.2148421296884832E-12 , -2.7568553572114255E-13 , 37.273705471782364 , 37.273705471782364 , 37.273705471782364 , 37.273705471782364
13.605 , 0.002500000000001279 , 3.1339902964175856E-15 , 4.1258695850653644E-15 , 426.50100484537614 , -3.365440067672193E-15 , -8.533279997730302E-16 , -1.2937594046248257 , -2.5385639505641853E-14 , -1.1045644193821295E-14 , -5.20953074150175 , -2.772969129105654E-10 , -2.963180475254881E-12 , -2.6766311511131077E-13 , 37.265446149353494 , 37.26544614935426 , 37.26544614935426 , 37.265446149353494
13.6075 , 0.0024999999999995026 , 3.203800231638381E-15 , -2.8898163816655543E-15 , 426.60133267603254 , -3.3653623807770007E-15 , -8.533132948589006E-16 , -1.2833047499062442 , -2.539405300905934E-14 , -1.1047777459456972E-14 , -5.212752072232714 , -2.6878980045545986E-10 , -2.6274416322916202E-12 , -2.2262450543412172E-13 , 35.6647777546155 , 35.66477775461698 , 35.66477775461698 , 35.6647777546155
13.61 , 0.0024999999999995026 , 3.1996180093424013E-15 , -8.571760299128861E-15 , 438.5785411827296 , -3.365283689426779E-15 , -8.53458848078617E-16 , -1.2727390040321076 , -2.5402466316592164E-14 , -1.1049910895489164E-14 , -5.215947194062264 , -1.8548980668015006E-10 , -2.5207715016554086E-12 , -2.3829969815031296E-13 , 35.69048920919437 , 35.69048920919627 , 35.69048920919627 , 35.69048920919437
13.6125 , 0.002500000000001279 , 3.200604464962262E-15 , -1.1159162710762064E-14 , 449.21525975078083 , -3.365205393952661E-15 , -8.537080185304763E-16 , -1.2618341274747429 , -2.5410879427951515E-14 , -1.1052044840783169E-14 , -5.219115464756253 , -3.2680964325681426E-11 , -2.5046265562544088E-12 , -2.83747354183022E-13 , 35.711606958514125 , 35.711606958516 , 35.711606958516 , 35.711606958514125
13.615 , 0.0024999999999995026 , 3.2517947712186215E-15 , -9.639704406972043E-15 , 449.97665883708936 , -3.365126374516306E-15 , -8.539721935260716E-16 , -1.2508024571826006 , -2.5419292342926723E-14 , -1.1054179448761945E-14 , -5.222256263634787 , 1.6071861494535117E-10 , -2.139602074431215E-12 , -2.3999808317086064E-13 , 35.728081959539566 , 35.728081959540845 , 35.728081959540845 , 35.728081959539566
13.6175 , 0.0024999999999995026 , 3.3109881227135148E-15 , -3.4453535134853693E-15 , 448.36716035746133 , -3.3650459369043375E-15 , -8.541418489073592E-16 , -1.2397938828667776 , -2.5427705058619653E-14 , -1.1056314623033194E-14 , -5.2253695006006815 , 3.4732629319298566E-10 , -1.980108014446391E-12 , -2.5994882980043706E-13 , 35.74160628181937 , 35.74160628181963 , 35.74160628181963 , 35.74160628181937
13.62 , 0.0024999999999995026 , 3.3608164528689825E-15 , 6.599445987984503E-15 , 447.64271177325776 , -3.364964154227302E-15 , -8.541092486491382E-16 , -1.2288153775660597 , -2.5436117571487666E-14 , -1.1058449988378617E-14 , -5.228455258486015 , 4.685464218456783E-10 , -1.8068387667365445E-12 , -2.7007852817893603E-13 , 35.75191761810166 , 35.751917618100606 , 35.751917618100606 , 35.751917618101686
13.6225 , 0.002500000000001279 , 3.403164040186961E-15 , 1.8352274821553702E-14 , 447.5473618265624 , -3.3648812533549234E-15 , -8.538041373333925E-16 , -1.2178454148132183 , -2.5444529878462903E-14 , -1.1060584940372561E-14 , -5.23151358400015 , 4.818080517267988E-10 , -1.6747985856373067E-12 , -2.5375833114953867E-13 , 35.75752949411947 , 35.757529494117136 , 35.757529494117165 , 35.757529494119495
13.625 , 0.0024999999999995026 , 3.447145600857589E-15 , 2.883411151908357E-14 , 447.53750841829026 , -3.3647973208829624E-15 , -8.532199085178996E-16 , -1.206876163669095 , -2.5452941976905607E-14 , -1.1062718774222604E-14 , -5.234544485911364 , 3.611980971281698E-10 , -1.9931345864846587E-12 , -1.1078644133654256E-13 , 35.75809396936404 , 35.75809396936083 , 35.75809396936083 , 35.75809396936404
13.6275 , 0.0024999999999995026 , 3.5006745649247704E-15 , 3.479637513658314E-14 , 447.5173116028714 , -3.3647121968876063E-15 , -8.524278340165671E-16 , -1.1959073693164002 , -2.5461353864077242E-14 , -1.1064850864552751E-14 , -5.2375479652216885 , 1.1300191775602351E-10 , -2.4076412145292715E-12 , -4.211735431726713E-14 , 34.263408153798395 , 34.2634081537951 , 34.2634081537951 , 34.263408153798395
13.63 , 0.002500000000001279 , 3.487669121998674E-15 , 3.294585162443071E-14 , 459.00037520289266 , -3.3646263331137404E-15 , -8.515793283605363E-16 , -1.1848338596814063 , -2.5469765537136068E-14 , -1.1066980863729627E-14 , -5.24052395615441 , -2.16871211547916E-10 , -2.631877549005427E-12 , -2.3266368290434713E-14 , 34.29623568250824 , 34.29623568250568 , 34.29623568250574 , 34.29623568250824
13.6325 , 0.0024999999999995026 , 3.4838293642445925E-15 , 2.3277639320342364E-14 , 469.1847624754749 , -3.36454105433795E-15 , -8.508760902377431E-16 , -1.1734347523319446 , -2.5478176996350464E-14 , -1.106910888355671E-14 , -5.243471843861196 , -5.546530696659988E-10 , -2.7062898750249145E-12 , -7.237979998740197E-14 , 34.324862958332375 , 34.32486295833152 , 34.32486295833152 , 34.324862958332375
13.635 , 0.0024999999999995026 , 3.5471415049419824E-15 , 7.209999875978976E-15 , 469.7977336935216 , -3.3644549881183797E-15 , -8.504910850834391E-16 , -1.161915802593548 , -2.548658824173177E-14 , -1.107123551026431E-14 , -5.246391034437798 , -8.028261712461707E-10 , -3.102678211066885E-12 , -3.054450076783167E-13 , 34.349202960450214 , 34.349202960451606 , 34.349202960451606 , 34.349202960450214
